,Number of samples,Time(LogReg),Time(DecTree),Time(Ran-Forest),Time(Nai-Bayes),Time(SVM)
0,1,0.01750922203063965,0.003998517990112305,0.10695075988769531,0.0,0.0
1,2,0.015630483627319336,0.0,0.12234878540039062,0.002000570297241211,0.001999378204345703
2,3,0.015001773834228516,0.002000093460083008,0.10521817207336426,0.0,0.0
3,4,0.015633583068847656,0.0,0.12347984313964844,0.0,0.0
4,5,0.015627384185791016,0.0,0.10982036590576172,0.0,0.0
5,6,0.02066326141357422,0.011033296585083008,0.10925936698913574,0.0,0.0
6,7,0.03127622604370117,0.0,0.10985827445983887,0.0,0.0
7,8,0.015633583068847656,0.0,0.14317965507507324,0.0,0.0
8,9,0.015671730041503906,0.015630722045898438,0.10984206199645996,0.0,0.0
9,10,0.030164003372192383,0.003000974655151367,0.10704898834228516,0.0,0.0
10,11,0.0312657356262207,0.0,0.10981583595275879,0.0,0.015628576278686523
11,12,0.015630722045898438,0.0,0.12807750701904297,0.0,0.0
12,13,0.0312652587890625,0.0,0.12543630599975586,0.0,0.0
13,14,0.015630483627319336,0.0,0.11120820045471191,0.017142057418823242,0.0
14,15,0.01450800895690918,0.0,0.11038494110107422,0.01566290855407715,0.0
15,16,0.015385866165161133,0.0,0.12732481956481934,0.0,0.0
16,17,0.0176541805267334,0.014243364334106445,0.09446239471435547,0.01586318016052246,0.0
17,18,0.015636682510375977,0.0,0.12411975860595703,0.0,0.0
18,19,0.036287546157836914,0.0,0.1052694320678711,0.01565408706665039,0.0
19,20,0.015629053115844727,0.0,0.1295185089111328,0.0,0.0
20,21,0.015631437301635742,0.0,0.11881446838378906,0.0,0.0
21,22,0.022641658782958984,0.0,0.1098642349243164,0.0,0.0
22,23,0.015625715255737305,0.0,0.10982131958007812,0.015836238861083984,0.0
23,24,0.01563549041748047,0.0,0.12587857246398926,0.0,0.0
24,25,0.01563429832458496,0.0,0.12545561790466309,0.0,0.0
25,26,0.01563119888305664,0.0,0.11156225204467773,0.0,0.0
26,27,0.016018152236938477,0.0,0.12543654441833496,0.0,0.0
27,28,0.015628576278686523,0.0,0.1234889030456543,0.0,0.0
28,29,0.021641016006469727,0.0,0.1043541431427002,0.0,0.015651702880859375
29,30,0.015626907348632812,0.0,0.1261284351348877,0.0,0.0
30,31,0.01563119888305664,0.0,0.1258220672607422,0.0,0.0
31,32,0.015632152557373047,0.0,0.12763738632202148,0.0,0.0
